table_name,column_name,data_type
payment_p2020_05,amount,numeric
payment_p2020_06,staff_id,smallint
payment_p2020_06,rental_id,integer
payment_p2020_06,amount,numeric
payment_p2020_06,payment_date,timestamp with time zone
rental,rental_date,timestamp with time zone
rental,inventory_id,integer
rental,customer_id,smallint
rental,return_date,timestamp with time zone
rental,staff_id,smallint
rental,rental_id,integer
rental,last_update,timestamp with time zone
staff,address_id,smallint
staff,store_id,smallint
staff,picture,bytea
staff,staff_id,integer
staff,active,boolean
staff,last_update,timestamp with time zone
store,manager_staff_id,smallint
store,address_id,smallint
store,store_id,integer
store,last_update,timestamp with time zone
customer,customer_id,integer
customer,address_id,smallint
customer,active,integer
customer,activebool,boolean
customer,create_date,date
customer,last_update,timestamp with time zone
actor,actor_id,integer
actor,last_update,timestamp with time zone
category,category_id,integer
category,last_update,timestamp with time zone
film,release_year,integer
film,language_id,smallint
film,original_language_id,smallint
film,length,smallint
film,fulltext,tsvector
film,film_id,integer
film,rental_duration,smallint
film,rental_rate,numeric
film,replacement_cost,numeric
film,rating,USER-DEFINED
film,last_update,timestamp with time zone
film_actor,actor_id,smallint
film_actor,film_id,smallint
film_actor,last_update,timestamp with time zone
film_category,film_id,smallint
film_category,category_id,smallint
film_category,last_update,timestamp with time zone
address,city_id,smallint
address,address_id,integer
address,last_update,timestamp with time zone
city,country_id,smallint
city,city_id,integer
city,last_update,timestamp with time zone
country,country_id,integer
country,last_update,timestamp with time zone
inventory,film_id,smallint
inventory,store_id,smallint
inventory,inventory_id,integer
inventory,last_update,timestamp with time zone
language,language_id,integer
language,last_update,timestamp with time zone
payment,customer_id,smallint
payment,staff_id,smallint
payment,rental_id,integer
payment,amount,numeric
payment,payment_date,timestamp with time zone
payment,payment_id,integer
payment_p2020_01,payment_id,integer
payment_p2020_01,customer_id,smallint
payment_p2020_01,staff_id,smallint
payment_p2020_01,rental_id,integer
payment_p2020_01,amount,numeric
payment_p2020_01,payment_date,timestamp with time zone
payment_p2020_02,payment_id,integer
payment_p2020_02,customer_id,smallint
payment_p2020_02,staff_id,smallint
payment_p2020_02,rental_id,integer
payment_p2020_02,amount,numeric
payment_p2020_02,payment_date,timestamp with time zone
payment_p2020_03,payment_id,integer
payment_p2020_03,customer_id,smallint
payment_p2020_03,staff_id,smallint
payment_p2020_03,rental_id,integer
payment_p2020_03,amount,numeric
payment_p2020_03,payment_date,timestamp with time zone
payment_p2020_04,payment_id,integer
payment_p2020_04,customer_id,smallint
payment_p2020_04,staff_id,smallint
payment_p2020_04,rental_id,integer
payment_p2020_04,amount,numeric
payment_p2020_04,payment_date,timestamp with time zone
payment_p2020_05,payment_id,integer
payment_p2020_05,customer_id,smallint
payment_p2020_05,staff_id,smallint
payment_p2020_05,rental_id,integer
customer,store_id,smallint
payment_p2020_05,payment_date,timestamp with time zone
payment_p2020_06,payment_id,integer
payment_p2020_06,customer_id,smallint
customer,first_name,text
customer,last_name,text
customer,email,text
address,address,text
address,address2,text
address,district,text
language,name,character
address,postal_code,text
actor,first_name,text
actor,last_name,text
address,phone,text
staff,password,text
category,name,text
staff,first_name,text
city,city,text
film,title,text
film,description,text
staff,last_name,text
staff,username,text
staff,email,text
country,country,text
film,special_features,ARRAY
